url,titulo,referencia,descripcion,ubicacion,vendedor,precio,particular,stats_visto,stats_contactado,stats_compartido,stats_favorito,stats_renovados
https://www.milanuncios.com/nissan-de-segunda-mano/nissan-juke-dci-eu6-81-kw-110-cv-6mt-nconnecta-389334461.htm,NISSAN - JUKE DCI EU6 81 KW 110 CV 6MT NCONNECTA,Ref: 389334461,"Fecha de matriculación: 1 / 2017 dursan más de 15 años en el mercado, taller autorizado bmw y colaborador bosch car service. pvp 13. 990 100% financiado 13. 390 entrega tu coche o moto como parte de pago tasación gratuita envío a toda españa, consulte disponibilidad ¡resérvalo ya! en automotordursan. com asesoramiento personalizado online y video llamadas financiación del 100% sin entrada. -acabado n-conecta -navegador -acceso confort -antinieblas delanteros -led diurno -lunas tintadas -llantas 17 -pantalla táctil -espejos eléctricos -start stop -control de presión de los neumáticos -sensor de luces y lluvia -cámara de marcha atrás -climatizador bi-zona -modos de conducción -usb -conexión aux iva deducible mantenimiento realizado al momento de la entrega. revisión y chequeo a los 6 meses de la compra gratis. preparación y transferencia: 300 € salvo error tipográfico y/u omisión asesoramiento personalizado online y video llamadas ¡resérvalo ya! en automotordursan. com dursan, red de concesionarios de vehículos de ocasión y taller autorizado bmw y mini y colaborador bosch car service. Color Blanco (Tela/Cuero C",- Nissan en Majadahonda (MADRID),automotorDursan.com,13.390 €,Profesional,749,0,1,0,0
https://www.milanuncios.com/skoda-de-segunda-mano/skoda-octavia-391663643.htm,SKODA - OCTAVIA,Ref: 391663643,"SKODA Octavia RS 1. 8T 20v 180cv Impecable, con pocos kilómetros, ITV para el 2022 Todo funciona. DGM Stage 2+ Con Autoblocante Quaife y mas. . . Linea de escape 3 opcional No cambios, solo Venta. . Color Plata",- Skoda en Las Palmas De Gran Canaria (LAS PALMAS),David,5.950 €,Particular,19117,0,0,2,0
https://www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-389383274.htm,PEUGEOT - 5008,Ref: 389383274,"Bonita Peugeot 5008 sport. Cinco prasas. Súper equipado de extras. Mantenimiento completo. Con factura. No ay qué hacerle absolutamente nada. ITV pasada favorable, asta febrero del 2022 . Más información contaste gracias. Color Azul",- Peugeot en Illora (GRANADA),jlfc,5.500 €,Profesional,24831,0,3,9,0
https://www.milanuncios.com/otros-coches-de-segunda-mano/c0mpram0s-c0ches-y-furgonetas-maxima-tasacion-363952844.htm,C0MPRAM0S C0CHES Y - FURGONETAS MAXIMA TASACION,Ref: 363952844,MAXIMA TASACION TODAS LAS MARCAS En buen estado o averiado tramitamos la transferencia o baja del vehículo en menos de 24h atendemos llamadas y WhatsApp disponemos de grua para el transporte superamos otras tasacionestodas las marcas y todos los modelos gracias 697655020. Color Negro,- Otros coches (VALENCIA),Adrian,1.000 €,Profesional,151641,1,0,4,0
https://www.milanuncios.com/fiat-de-segunda-mano/fiat-punto-evo-390400531.htm,FIAT - PUNTO EVO,Ref: 390400531,"Kit evo 90cv 16v (pocos con esta terminación) equipado con llantas 17 sport, suspensión deportiva, taloneras, paragolpes evo, lunas tintadas, volante deportivo piel achatado y pomo a juego, faros iluminación de giro, luces automáticas , pilotos traseros led, modo conducción city , clima bizona, radio/usb/mp3/Bluetooth, sistema blue&me, ordenador a bordo, limitador velocidad, 6 velocidades, molduras en nakar y iluminación leds interior, asientos deportivos con ajuste eléctrico lumbar, (motor por cadena) 5L/100 de consumo. Se entrega revisado mantenimientos recién hechos, kms certificados, 2 llaves, 1 año de garantía. Cambio nombre no incluido. Financiado desde 100€/mes. Aceptamos vehículo como parte pago bajo previa tasación. Sólo recibimos con cita previa. Este anuncio no es vinculante puede contener errores. Visite nuestras instalaciones¡¡¡¡AutosGt21. Color Rojo",- Fiat en Medina Del Campo (VALLADOLID),AutosGt21,4.800 €,Profesional,7637,0,0,1,0
https://www.milanuncios.com/audi-de-segunda-mano/audi-a1-388866478.htm,AUDI - A1,Ref: 388866478,"Audi A1 1. 6Tdi 105cv Ambition en perfecto estado, asientos deportivos mixtos, pantalla multifuncion, sensor de luces, sensor de lluvia, pack iluminación interior, audio profesional, llantas de aleación, tren de rodaje deportivo original, volante de cuero. Color Blanco",- Audi en Oviedo (ASTURIAS),jesús,6.990 €,Profesional,7658,1,3,3,0
https://www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-389375970.htm,CITROEN - C4,Ref: 389375970,"Sport 1. 6Vti 120cv nacional único propietario, con luz diurna, volante multifunción, sensor aparcamiento, control y limitador velocidad, cd/mp3/aux y Bluetooth, ordenador a bordo, climatizador bizona , 4 elevalunas eléctricos, sensor de luces y lluvia, guantera frio ventilada, lunas tintadas, cierre centralizado, llantas aluminio, apoyabrazos, controles por voz, espejos electricos abatibles calefactados, tablero instrumentos digital. Se entrega revisado con mantenimientos recientes, kms certificados 2 mandos, 1 año garantía listo para disfrutar y cambio de nombre incluido. Financiado desde 117€/mes. Aceptamos vehículo como parte pago bajo previa tasación. Sólo recibimos con cita previa. Este anuncio no es vinculante puede contener errores. Visite nuestras instalaciones¡¡¡¡AutosGt21. Color Azul",- Citroen en Medina Del Campo (VALLADOLID),AutosGt21,5.300 €,Profesional,7767,0,1,2,0
https://www.milanuncios.com/opel-de-segunda-mano/opel-insignia-387475200.htm,OPEL - INSIGNIA,Ref: 387475200,"Opel insignia Sports Tourer Ecoflex \ Start-Stop\ 2. 0cdti. Familiar espacioso y confortable 100% con un consumo medio 5L/100 . Volante multifunción, control velocidad, 6 velocidades, packtronic delant/trasero, climatizador automático, sensor de lluvia/luces, bluetooth, Radio CD/MP3/aux/usb, comandos por voz, asiento eléctrico regulación lumbar, faros diurnos, asientos tras abatibles, 4 elevalunas electr, apoyabrazos del y tras, llantas 17\ , lunas tintadas, todo los mantenimientos rigurosamente hechos. Se entrega revisado y mantenimientos recientes, kms certificados, garantía 1 año y transferido , 2 mandos, itv hasta 2022. Desde 160€/mes. Aceptamos vehículo como parte pago bajo previa tasación. Sólo recibimos con cita previa. Este anuncio no es vinculante puede contener errores. Visite nuestras instalaciones¡¡¡¡AutosGt21. Color Gris",- Opel en Medina Del Campo (VALLADOLID),AutosGt21,8.500 €,Profesional,13285,0,0,0,0
https://www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-clase-r-386215121.htm,MERCEDES-BENZ - CLASE R,Ref: 386215121,"Mercedes Benz clase R350 Cdi en inmaculado estado, nacional, todos los mantenimientos sellados en concesionario oficial Mercedes Benz, asientos de cuero eléctricos y calefactables, navegador original multifunción, clima delantero bizona y trasero monozona, techo panorámico, gancho de remolque desmontable, cambio 7G-Tronic de 7 velocidades con levas en el volante, Xenon, volante multifunción, sistema de sonido profesional, tracción total permanente 4Matic, 7 Plazas abatibles, baca original Mercedes Benz desmontable , cortinas laterales abatibles, cruise control con control de frenada, dos juegos de neumáticos (Invierno y Verano) nuevas. Se entrega con mantenimiento e itv en vigor e incluye 1 año de garantía. Color Azul",- Mercedes-Benz en Oviedo (ASTURIAS),jesús,23.000 €,Profesional,49544,0,2,0,0
https://www.milanuncios.com/toyota-de-segunda-mano/toyota-yaris-390628796.htm,TOYOTA - YARIS,Ref: 390628796,"Toyota Yaris. Color rojo. ITV pasada diciembre 2020. Revisión completa con cambio de aceite marzo 2021. Limpieza y desinfección interior. Carrocería sin un solo arañazo. No ha tenido averías ni accidentes. Impecable, como nuevo. Color Rojo",- Toyota en Alcobendas (MADRID),José Manuel,7.000 €,Particular,14059,0,0,2,0
